"id","entrega","estado_antes","estado_revisado","natureza_pendencia","fontes","conclusao_e_aceite_restante","metodo","commit_base","commit_auditado"
"UX01","Linha de base e cobertura","I","I","nenhuma_no_escopo_tecnico","docs/PLANO_UX_100_ETAPAS_20260909.md; docs/RELATORIO_EXPERIENCIA_MARKETING_GEN_Z_20260909.md; docs/audits/plan-review-20260912/http-production.json","Inventário e planos localizados; esta revisão atualiza evidências e distingue simulações de produção.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX02","Continuidade e métricas","P","P","codigo_operacao","src/context/QuoteCartContext.tsx; src/components/QuoteDrawer.tsx; src/lib/quoteItems.ts; src/lib/catalogComparison.ts; src/context/QuoteCartContext.test.ts; src/lib/analytics.ts; src/lib/analytics.test.ts; scripts/check-performance-budget.mjs; src/App.tsx; src/lib/customerSelections.ts; src/components/SavedSelections.tsx","Persistência local e biblioteca de campanhas por conta existem, com versão otimista. Restam reconciliação guiada entre dispositivos e métricas operacionais do funil.","Revisão de implementação e contratos em 22/09; validação local discriminada em EXECUCAO_COMPLEMENTAR_20260922.md. Teste automatizado não substitui aceite operacional ou pesquisa.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","25be22f768a6714aa04e0ccff06b0f556a7b8b7c"
"UX03","Testes de contrato das falhas","P","I","nenhuma_no_escopo_tecnico","e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json; docs/EXECUCAO_CORRECOES_20260912.md; tests/api/lead-requests.test.ts; src/lib/quoteItems.test.ts","Regressões B01–B07 incorporadas aos testes pertinentes; endpoint persistente explicitamente configurado no E2E. Novos achados R01–R08 têm diagnósticos, ainda não correções.","Reavaliado pelo delta de implementação, fontes atuais e evidências especificadas no relatório de fechamento.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX04","Consulta de novidades","I","I","nenhuma_no_escopo_tecnico","src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json","Novidades consultáveis em produção e lógica coberta; catálogo não exige estoque positivo.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX05","Autocomplete e atalhos","I","I","nenhuma_no_escopo_tecnico","src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json","Autocomplete fechado não intercepta atalhos; teclado e aria-activedescendant cobertos.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX06","Erros com recuperação útil","P","P","validacao_operacao","src/pages/QuotePage.tsx; src/lib/quoteDraft.ts; src/lib/quoteBriefing.ts; src/lib/http.ts; api/_lib/contracts.ts; tests/api/lead-requests.test.ts; docs/audits/plan-review-20260912/simulations.json; src/pages/CustomerAccountPage.tsx; src/pages/CustomerQuotePage.tsx; src/lib/customerAccount.ts; api/customer-proposals.ts; tests/api/customer-proposals.test.ts; api/notifications.ts; api/_lib/leadHandler.ts; site-supabase/supabase/migrations/20260912170000_add_quote_notification_outbox.sql; docs/audits/closure-review-20260912/notifications.mjs; docs/audits/closure-review-20260912/outbox.sql; tests/api/notifications.test.ts; api/_lib/observability.ts","R01/R02/R03/R04 têm contratos de finalização, reconciliação, recuperação e precedência; mensagens e retry estão implementados. Homologação dos provedores reais foi adiada pelo usuário.","Revisão de implementação e contratos em 22/09; validação local discriminada em EXECUCAO_COMPLEMENTAR_20260922.md. Teste automatizado não substitui aceite operacional ou pesquisa.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","25be22f768a6714aa04e0ccff06b0f556a7b8b7c"
"UX07","Rascunho de orçamento","P","I","nenhuma_no_escopo_tecnico","src/pages/QuotePage.tsx; src/lib/quoteDraft.ts; src/lib/quoteBriefing.ts; src/lib/http.ts; api/_lib/contracts.ts; tests/api/lead-requests.test.ts; docs/audits/plan-review-20260912/simulations.json; src/context/CustomerAuthContext.tsx; docs/audits/closure-review-20260912/logout.mjs; src/lib/personalDataReset.ts; e2e/smoke.spec.ts","Rascunho é preservado em falha e limpo após sucesso ou troca de sessão. R08 está corrigido; testes exercitam logout entre abas e envio em andamento.","Revisão de implementação e contratos em 22/09; validação local discriminada em EXECUCAO_COMPLEMENTAR_20260922.md. Teste automatizado não substitui aceite operacional ou pesquisa.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","25be22f768a6714aa04e0ccff06b0f556a7b8b7c"
"UX08","Comparação ao navegar","I","I","nenhuma_no_escopo_tecnico","src/context/QuoteCartContext.tsx; src/components/QuoteDrawer.tsx; src/lib/quoteItems.ts; src/lib/catalogComparison.ts; src/context/QuoteCartContext.test.ts; src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts","Comparação em sessão revalida IDs e avisa sobre remoção ou fallback; não é sincronização entre dispositivos.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX09","Contexto da campanha","I","I","nenhuma_no_escopo_tecnico","src/lib/campaignPresets.ts; src/lib/ideaLandings.ts; src/lib/catalogLibrary.ts; src/components/CampaignFinder.tsx; src/pages/QuotePage.tsx; src/lib/quoteDraft.ts; src/lib/quoteBriefing.ts; src/lib/http.ts; api/_lib/contracts.ts; tests/api/lead-requests.test.ts; docs/audits/plan-review-20260912/simulations.json","Contexto estruturado acompanha descoberta e briefing; duplicação de link limpa contexto anterior.","Revisão anterior confrontada com planos e diff; critério pendente permanece. Não representa novo teste individual desta linha.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
"UX10","Aceitar estabilização","P","I","nenhuma_no_escopo_tecnico","e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json; docs/EXECUCAO_CORRECOES_20260912.md; tests/api/lead-requests.test.ts; src/lib/quoteItems.test.ts","Lote original de estabilização B01–B07 entregue, publicado e com suites aprovadas no commit; não representa encerramento das expansões nem dos novos achados.","Reavaliado pelo delta de implementação, fontes atuais e evidências especificadas no relatório de fechamento.","b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7","f20df4452f0d70f295154b0ba8bd9af8f8be64dd"
